Obs.no,Gender,Age,Height,Weight,Education,Urbanity,FastFood,HouseholdIncome,Alone,Children,Labeling
173,0,25,162,63,2,5,4,2,0,0,1
174,0,21,175,80,2,5,4,2,0,0,0
175,0,67,160,70,1,1,1,2,0,0,1
176,0,46,172,54,1,3,3,2,0,1,1
177,0,61,175,65,1,3,3,2,0,0,1
178,0,71,164,64,1,5,3,2,0,0,1
179,1,42,187,100,1,3,3,2,1,0,0
180,1,45,168,95,1,4,3,2,1,0,1
181,1,55,185,120,1,2,3,2,1,0,1
182,1,19,169,67,1,2,4,2,1,0,1
183,0,53,166,70,1,4,4,2,1,0,1
184,0,43,170,100,1,4,4,2,0,1,1
185,1,19,160,50,1,5,5,2,0,1,0
186,0,26,160,85,1,5,5,2,0,1,1
187,0,26,176,75,5,5,4,3,1,0,0
188,1,25,178,85,5,5,4,3,0,0,1
189,0,63,165,79,5,5,4,3,1,0,1
190,0,52,162,57,4,3,1,3,1,0,1
191,0,66,168,63,4,4,2,3,0,0,1
192,0,69,165,72,4,5,2,3,0,0,1
193,1,71,172,80,4,3,2,3,0,0,0
194,1,67,186,124,4,5,2,3,1,0,1
195,1,29,177,64,4,5,3,3,0,1,1
196,0,47,165,59,4,5,3,3,0,1,0
197,0,69,168,65,4,2,3,3,1,0,0
198,1,67,172,76,4,1,3,3,0,0,0
199,1,47,176,91,4,5,3,3,0,1,1
200,0,66,161,78,4,3,3,3,0,0,0
201,0,70,165,82,4,2,3,3,1,0,1
202,1,41,175,102,4,1,3,3,0,1,0
203,0,27,158,52,4,5,4,3,0,1,0
204,0,28,172,68,4,5,4,3,0,0,1
205,1,40,185,80,4,2,4,3,1,0,0
206,0,28,161,67,4,5,4,3,1,0,0
207,1,58,186,92,4,5,4,3,1,0,1
208,1,51,183,101,4,5,4,3,0,0,0
209,1,28,182,79,4,5,5,3,0,0,1
210,1,51,184,90,4,5,7,3,0,1,1
211,0,70,170,57,3,3,1,3,1,0,1
212,0,72,167,60,3,5,1,3,1,0,1
213,0,61,172,65,3,4,1,3,0,0,0
214,0,60,168,60,3,2,3,3,1,0,0
215,1,30,172,72,3,4,3,3,1,0,0
216,1,32,184,106,3,5,3,3,0,0,1
217,1,64,182,90,3,4,4,3,0,0,0
218,0,43,172,88,3,5,4,3,1,0,1
219,0,26,175,74,3,5,5,3,1,0,0
220,1,27,186,72,3,5,6,3,0,0,1
221,1,55,175,71,4,4,2,3,0,0,1
222,1,39,182,110,4,4,2,3,0,1,1
223,0,68,167,65,4,3,3,3,1,0,1
224,1,36,192,90,4,2,3,3,1,0,1
225,1,25,181,81,4,5,3,3,0,0,1
226,0,67,168,78,4,1,3,3,0,0,1
227,1,60,185,95,4,1,3,3,0,0,1
228,0,69,163,77,4,5,3,3,0,0,1
229,0,61,160,79,4,1,3,3,0,0,1
230,1,53,180,105,4,5,3,3,1,0,1
231,0,32,165,64,4,2,4,3,1,0,0
232,1,65,180,80,4,5,4,3,0,0,1
233,1,35,170,78,4,4,4,3,1,0,1
234,0,74,150,64,4,4,4,3,0,0,1
235,0,29,160,85,4,2,5,3,0,0,1
236,0,24,160,60,2,2,3,3,0,0,1
237,1,37,184,82,2,4,3,3,0,1,1
238,1,45,184,90,2,2,3,3,1,0,1
239,0,39,170,79,2,3,3,3,1,0,1
240,0,32,163,105,2,3,1,3,0,0,1
241,1,68,176,74,2,5,2,3,1,0,1
242,0,25,174,60,2,5,3,3,0,0,0
243,1,30,174,65,2,4,4,3,1,0,0
244,0,33,167,90,2,5,5,3,1,0,0
245,0,37,168,96,2,2,5,3,0,1,1
246,0,24,169,60,1,5,3,3,0,0,0
247,0,31,167,63,1,3,3,3,0,0,0
248,0,71,161,74,1,5,3,3,1,0,0
249,1,39,177,97,1,5,3,3,0,0,0
250,1,67,184,115,1,3,3,3,1,0,1
251,0,63,162,99,1,1,3,3,0,0,1
252,1,46,194,96,5,5,2,4,0,0,1
253,0,54,174,59,5,5,3,4,0,0,1
254,0,65,157,51,5,2,3,4,1,0,1
255,1,30,172,70,5,5,3,4,0,1,0
256,0,33,160,97,5,3,3,4,1,0,0
257,0,35,161,50,5,4,4,4,0,1,1
258,1,55,179,76,5,5,4,4,1,0,0
259,0,36,174,95,5,5,4,4,0,0,0
260,1,31,180,112,5,3,5,4,1,0,0
261,0,60,160,61,4,3,1,4,1,0,1
262,0,61,167,64,4,4,2,4,0,0,1
263,0,70,170,68,4,2,2,4,1,0,1
264,0,63,169,69,4,4,2,4,1,0,1
265,0,63,165,68,4,2,2,4,1,0,1
266,1,50,180,90,4,5,2,4,1,0,1
267,0,49,165,59,4,5,3,4,1,0,1
268,0,25,175,68,4,5,3,4,0,0,1
269,0,64,165,65,4,2,3,4,1,0,1
270,1,71,170,70,4,4,3,4,0,0,0
271,0,51,152,57,4,1,3,4,0,0,1
272,0,52,182,82,4,3,3,4,0,0,1
273,0,67,164,69,4,2,3,4,0,0,1
274,1,66,177,81,4,3,3,4,0,0,0
275,1,51,175,80,4,4,3,4,1,0,0
276,0,43,163,70,4,4,3,4,0,1,1
277,0,42,162,75,4,3,3,4,0,1,1
278,0,54,160,74,4,3,3,4,1,0,0
279,0,33,170,96,4,5,3,4,1,0,0
280,0,36,168,62,4,4,4,4,0,1,0
281,0,40,170,65,4,5,4,4,0,0,1
282,1,37,186,94,4,5,4,4,1,0,0
283,1,48,189,103,4,5,4,4,1,0,1
284,0,41,170,88,4,5,4,4,0,1,1
285,1,47,183,110,4,1,4,4,0,1,0
286,1,40,185,130,4,5,4,4,1,0,0
287,1,23,184,82,4,5,5,4,0,0,1
288,1,27,172,88,4,5,5,4,1,0,0
289,0,64,164,80,3,1,2,4,0,0,1
290,0,29,167,55,3,5,3,4,0,0,1
291,0,55,176,65,3,2,3,4,1,0,1
292,0,57,170,64,3,1,3,4,0,0,1
293,0,28,167,63,3,4,3,4,0,1,0
294,0,24,153,53,3,5,3,4,1,0,1
295,0,71,168,67,3,2,3,4,1,0,1
296,0,63,169,68,3,5,3,4,1,0,1
297,0,67,170,70,3,4,3,4,1,0,1
298,0,62,165,66,3,5,3,4,1,0,1
299,1,61,191,93,3,5,3,4,1,0,1
300,0,43,175,100,3,4,3,4,0,1,1
301,0,47,174,62,3,5,4,4,0,1,0
302,1,28,182,110,3,3,5,4,1,0,1
303,1,68,177,85,4,5,1,4,0,0,1
304,0,45,162,85,4,5,1,4,0,0,1
305,1,61,180,68,4,5,2,4,1,0,1
306,0,65,174,74,4,4,2,4,0,0,1
307,0,65,165,72,4,2,2,4,1,0,1
308,0,60,168,56,4,5,3,4,0,0,0
309,0,64,164,61,4,5,3,4,1,0,1
310,1,61,180,78,4,2,3,4,0,0,1
311,1,62,172,76,4,2,3,4,1,0,0
312,1,59,176,82,4,5,3,4,0,0,0
313,1,47,184,95,4,2,3,4,1,0,1
314,1,64,173,84,4,3,3,4,0,0,0
315,1,65,189,130,4,1,3,4,0,0,1
316,0,30,169,106,4,3,3,4,1,0,1
317,1,47,187,73,4,5,4,4,0,1,1
318,1,34,188,80,4,5,4,4,0,0,1
319,1,27,176,78,4,3,4,4,1,0,1
320,0,42,168,72,4,3,4,4,1,0,1
321,1,42,188,95,4,5,4,4,1,0,1
322,0,62,172,85,4,5,4,4,0,0,1
323,0,31,180,104,4,4,4,4,0,0,1
324,1,47,185,120,4,2,4,4,1,0,1
325,1,23,178,73,4,5,5,4,0,0,1
326,1,38,195,95,4,4,5,4,0,1,1
327,0,21,165,57,2,4,3,4,0,0,1
328,1,31,190,94,2,3,3,4,1,0,0
329,0,28,169,92,2,5,3,4,1,0,1
330,1,32,204,79,2,3,4,4,0,0,1
331,0,22,162,60,2,3,4,4,0,0,1
332,1,27,180,99,2,3,5,4,0,0,1
333,1,42,185,120,2,5,7,4,1,0,0
334,0,29,165,70,2,1,3,4,0,0,1
335,0,32,164,70,2,5,3,4,0,1,1
336,0,24,162,68,2,5,4,4,0,0,1
337,1,37,187,117,2,5,6,4,0,0,1
338,1,66,178,76,1,4,1,4,0,0,1
339,0,56,170,80,1,2,2,4,0,0,0
340,0,61,170,58,1,2,3,4,0,0,1
341,0,62,167,65,1,5,3,4,0,0,1
342,0,17,160,60,1,5,3,4,0,1,1
343,0,50,166,67,1,2,3,4,0,0,1
344,1,66,178,78,1,2,3,4,0,0,1
345,0,30,159,64,1,2,3,4,0,0,1
346,1,40,177,84,1,5,3,4,1,0,0
347,1,64,178,92,1,1,3,4,0,0,1
348,0,73,163,60,5,3,2,5,1,0,0
349,0,53,161,80,5,5,2,5,0,1,1
350,0,27,170,57,5,5,3,5,0,0,1
351,1,31,185,85,5,5,3,5,1,0,0
352,1,64,179,80,5,5,3,5,1,0,0
353,0,35,160,65,5,5,3,5,1,0,0
354,0,36,166,80,5,5,3,5,1,0,1
355,0,31,168,82,5,2,3,5,0,0,0
356,1,62,185,105,5,2,3,5,1,0,1
357,0,33,168,65,5,5,4,5,1,0,1
358,1,30,183,87,5,5,4,5,0,0,0
359,0,55,171,79,5,5,4,5,1,0,1
360,1,29,184,97,5,5,4,5,1,0,1
361,1,27,178,78,5,5,5,5,0,0,0
362,1,30,174,73,5,5,6,5,1,0,1
363,0,65,166,63,4,3,1,5,0,0,1
364,0,58,167,70,4,3,1,5,0,0,1
365,1,67,183,90,4,5,1,5,0,0,0
366,0,49,172,57,4,4,2,5,1,0,1
367,1,65,172,74,4,2,2,5,0,0,0
368,0,60,165,78,4,4,2,5,1,0,1
369,1,40,175,100,4,1,2,5,1,0,1
370,0,42,179,65,4,5,3,5,0,1,1
371,0,28,163,59,4,5,3,5,1,0,1
372,1,67,181,73,4,5,3,5,0,0,0
373,0,28,168,63,4,3,3,5,0,1,1
374,0,35,163,63,4,4,3,5,1,0,0
375,0,67,167,68,4,2,3,5,0,0,1
376,1,74,180,80,4,1,3,5,0,0,0
377,0,50,167,71,4,3,3,5,0,0,1
378,1,70,167,71,4,2,3,5,0,0,0
379,0,37,169,75,4,1,3,5,0,0,0
380,1,29,178,85,4,2,3,5,0,0,0
381,1,70,180,89,4,5,3,5,0,0,1
382,1,46,185,95,4,5,3,5,0,0,0
383,0,55,158,70,4,5,3,5,0,0,0
384,0,35,172,84,4,5,3,5,0,1,1
385,1,67,183,108,4,2,3,5,0,0,1
386,1,32,186,112,4,3,3,5,0,1,0
387,1,59,169,97,4,2,3,5,0,0,0
388,0,62,165,105,4,4,3,5,0,0,1
389,1,32,180,64,4,2,4,5,1,0,0
390,0,28,170,59,4,5,4,5,0,0,1
391,0,26,170,60,4,5,4,5,1,0,1
392,0,30,166,58,4,2,4,5,0,1,1
393,1,62,182,77,4,5,4,5,1,0,1
394,1,44,198,98,4,5,4,5,0,0,0
395,1,43,168,85,4,3,4,5,1,0,1
396,0,32,174,92,4,2,4,5,0,1,1
397,0,32,168,49,4,5,5,5,0,1,1
398,1,26,170,58,4,5,5,5,0,0,0
399,0,37,160,96,4,5,6,5,0,0,1
400,0,26,176,62,3,5,1,5,1,0,1
401,0,70,168,67,3,3,2,5,0,0,1
402,1,37,180,88,3,5,2,5,0,0,0
403,1,66,180,104,3,3,2,5,0,0,0
404,0,47,175,82,3,2,3,5,0,0,1
405,0,65,160,85,3,5,3,5,0,0,1
406,1,49,176,90,3,5,4,5,1,0,0
407,0,33,165,60,3,5,5,5,1,0,1
408,0,24,164,74,3,4,5,5,0,0,1
409,1,54,182,112,3,2,5,5,0,1,1
410,1,62,162,72,4,2,2,5,0,0,0
411,1,46,181,90,4,2,2,5,1,0,0
412,1,61,176,68,4,5,3,5,1,0,0
413,1,64,183,76,4,4,3,5,0,0,1
414,0,62,156,56,4,5,3,5,0,0,0
415,1,52,175,82,4,5,3,5,0,1,1
416,1,62,182,90,4,2,3,5,0,0,0
417,0,52,165,79,4,3,3,5,0,0,1
418,1,31,182,79,4,2,4,5,0,1,1
419,1,57,175,75,4,3,4,5,0,1,1
420,1,66,180,92,4,2,4,5,0,0,1
421,1,24,195,119,4,3,4,5,0,0,1
422,1,64,185,116,4,2,4,5,0,0,1
423,1,25,185,120,4,3,4,5,0,0,0
424,0,26,169,55,4,3,5,5,0,1,1
425,1,30,180,93,4,3,5,5,0,0,1
426,0,27,172,59,2,5,4,5,0,0,1
427,1,25,163,54,2,2,4,5,0,1,1
428,1,20,182,76,2,4,4,5,0,0,0
429,0,47,169,74,2,3,4,5,0,1,0
430,1,55,188,90,2,5,2,5,1,0,1
431,1,22,186,68,2,5,4,5,1,0,0
432,1,49,182,84,2,5,4,5,0,1,1
433,1,41,180,85,2,5,4,5,1,0,0
434,0,41,158,79,2,1,4,5,0,0,1
435,1,19,185,85,2,4,5,5,0,0,1
436,0,58,162,62,1,5,1,5,1,0,1
437,0,59,166,66,1,1,1,5,0,0,1
438,1,65,169,88,1,2,1,5,0,0,1
439,0,58,150,57,1,1,2,5,0,0,1
440,0,65,172,75,1,1,2,5,0,0,1
441,1,43,182,78,1,3,3,5,0,1,0
442,0,47,163,68,1,4,3,5,0,0,0
443,1,62,172,76,1,4,3,5,0,0,0
444,1,65,179,90,1,4,3,5,1,0,0
445,0,50,175,98,1,1,3,5,0,0,1
446,1,34,186,84,5,4,4,6,0,1,1
447,0,27,158,56,5,5,2,6,0,0,1
448,0,55,167,56,5,4,3,6,1,0,0
449,1,35,193,77,5,2,3,6,0,1,1
450,1,33,188,75,5,5,3,6,0,1,0
451,1,59,186,85,5,5,3,6,0,0,1
452,1,64,173,75,5,5,3,6,0,0,0
453,1,33,172,79,5,5,3,6,1,0,1
454,1,69,185,100,5,3,3,6,0,0,1
455,0,57,167,50,5,5,4,6,0,0,1
456,1,34,186,75,5,5,4,6,1,0,1
457,0,38,166,60,5,5,4,6,0,1,0
458,1,63,168,62,5,5,4,6,0,0,0
459,1,31,186,89,5,5,4,6,0,0,0
460,0,28,170,75,5,5,4,6,0,0,0
461,0,64,172,75,4,5,1,6,0,0,1
462,0,64,175,68,4,3,3,6,0,0,1
463,0,58,172,66,4,5,3,6,0,0,0
464,0,60,162,59,4,5,3,6,0,0,0
465,1,65,172,67,4,3,3,6,0,0,1
466,0,44,172,67,4,5,3,6,0,1,1
467,0,42,168,65,4,1,3,6,0,1,1
468,1,67,177,76,4,5,3,6,0,0,0
469,0,57,178,82,4,1,3,6,0,0,1
470,1,63,179,85,4,5,3,6,0,1,1
471,0,58,168,75,4,5,3,6,0,0,1
472,1,66,185,96,4,4,3,6,0,0,1
473,0,63,172,85,4,3,3,6,0,0,0
474,0,62,158,77,4,1,3,6,0,0,1
475,0,50,161,83,4,5,3,6,0,1,0
476,0,36,182,66,4,2,4,6,0,1,0
477,1,62,178,73,4,5,4,6,0,0,0
478,1,30,187,88,4,5,4,6,0,0,1
479,1,47,179,85,4,5,4,6,1,0,1
480,1,39,187,95,4,3,4,6,0,1,0
481,0,34,168,80,4,1,4,6,0,1,1
482,1,64,179,93,4,3,4,6,0,0,1
483,1,26,184,79,4,5,5,6,0,0,1
484,1,34,176,78,4,5,5,6,0,0,0
485,1,48,175,78,4,5,5,6,0,1,1
486,1,19,180,62,4,2,7,6,0,1,0
487,0,66,160,63,3,1,3,6,0,0,0
488,1,30,173,77,3,2,3,6,0,1,0
489,0,29,165,83,3,2,3,6,0,1,1
490,0,43,174,96,3,2,3,6,0,1,0
491,0,53,171,101,3,5,3,6,0,1,1
492,0,33,173,60,3,5,4,6,0,1,0
493,1,43,187,74,3,5,4,6,0,1,1
494,0,45,174,73,3,3,4,6,0,0,0
495,0,37,165,68,3,3,4,6,1,0,1
496,0,26,179,83,3,2,4,6,0,0,0
497,0,31,176,87,3,3,4,6,0,1,0
498,1,49,189,104,3,1,4,6,0,1,0
499,1,41,183,109,3,3,8,6,0,0,1
500,0,55,163,70,4,4,1,6,0,0,1
501,1,59,180,86,4,5,1,6,0,0,0
502,1,55,185,98,4,2,2,6,0,0,0
503,1,71,172,67,4,4,3,6,0,0,1
504,0,51,165,62,4,4,3,6,0,0,0
505,1,49,178,74,4,1,3,6,0,1,1
506,0,37,163,63,4,2,3,6,0,1,0
507,0,56,161,66,4,5,3,6,0,0,1
508,0,40,164,69,4,1,3,6,0,0,1
509,1,56,186,89,4,2,3,6,0,0,1
510,0,49,161,67,4,4,3,6,0,0,1
511,1,42,193,100,4,2,3,6,0,1,1
512,1,55,178,92,4,1,3,6,0,0,0
513,1,66,174,88,4,5,3,6,0,0,1
514,1,58,170,86,4,5,3,6,0,0,1
515,0,38,165,55,4,3,4,6,0,1,0
516,0,39,165,67,4,2,4,6,0,1,1
517,0,50,178,70,2,2,3,6,0,0,0
518,1,32,191,83,2,3,3,6,0,1,1
519,1,41,183,80,2,2,3,6,0,1,0
520,1,39,180,95,2,3,3,6,0,0,1
521,0,48,162,65,2,4,4,6,0,1,0
522,1,19,184,81,2,4,5,6,0,0,0
523,1,44,185,82,2,5,5,6,1,0,0
524,1,26,183,92,2,1,2,6,0,0,0
525,1,29,184,64,2,5,4,6,1,0,0
526,1,34,181,87,2,2,4,6,0,1,1
527,1,54,184,94,2,4,4,6,0,0,1
528,0,17,167,53,2,5,5,6,0,1,1
529,1,27,181,99,2,3,5,6,1,0,1
530,0,51,167,70,1,1,3,6,0,0,0
531,0,49,171,79,1,4,3,6,0,1,0
532,1,68,180,90,1,4,3,6,0,0,1
533,0,61,165,81,1,5,3,6,0,0,0
534,1,52,171,74,1,4,4,6,0,1,0
535,1,43,182,95,1,4,4,6,0,1,1
536,1,56,176,92,1,1,4,6,0,1,0
537,1,32,174,60,5,4,3,7,0,1,0
538,0,41,173,63,5,4,3,7,0,1,0
539,1,40,191,85,5,5,3,7,1,0,1
540,1,39,184,87,5,1,3,7,0,1,0
541,0,32,163,81,5,4,3,7,0,1,1
542,0,32,174,65,5,5,4,7,0,1,1
543,1,72,184,74,5,5,4,7,0,0,1
544,0,37,170,78,5,5,4,7,0,1,1
545,0,38,168,86,5,5,4,7,1,0,1
546,0,31,183,124,5,5,4,7,0,0,0
547,1,28,176,65,5,5,5,7,0,1,1
548,1,36,182,85,5,4,5,7,1,0,1
549,0,28,167,75,5,5,5,7,0,0,1
550,1,30,181,126,5,5,5,7,0,0,1
551,0,60,170,68,4,3,1,7,0,0,1
552,1,59,175,74,4,4,1,7,0,0,1
553,1,61,180,75,4,3,2,7,0,0,0
554,0,64,164,64,4,5,2,7,0,0,1
555,1,49,169,77,4,3,2,7,0,1,1
556,1,59,189,97,4,2,2,7,0,0,1
557,0,43,167,52,4,5,3,7,0,1,1
558,1,49,180,75,4,5,3,7,0,1,0
559,0,48,176,72,4,5,3,7,0,1,1
560,1,53,192,86,4,2,3,7,0,1,1
561,1,50,187,82,4,2,3,7,0,0,0
562,1,37,184,82,4,5,3,7,0,1,1
563,1,57,190,88,4,5,3,7,0,0,1
564,0,48,162,65,4,5,3,7,0,1,1
565,1,39,169,72,4,5,3,7,0,1,1
566,0,34,163,70,4,4,3,7,0,1,1
567,1,55,184,90,4,5,3,7,0,0,1
568,0,45,162,70,4,1,3,7,0,0,1
569,0,36,172,79,4,2,3,7,0,1,1
570,1,58,171,82,4,3,3,7,0,0,0
571,1,58,178,93,4,2,3,7,0,0,1
572,0,52,162,78,4,2,3,7,0,0,0
573,0,43,167,100,4,2,3,7,0,1,1
574,0,32,173,64,4,5,4,7,0,1,0
575,0,60,170,68,4,3,4,7,0,0,0
576,0,39,165,68,4,3,4,7,0,1,1
577,0,35,175,83,4,3,4,7,0,1,1
578,1,43,195,105,4,5,4,7,1,0,1
